strategy,model,timestamp,task_id,status,pass_1st_round,rounds_to_pass,total_rounds,failed_test
baseline,deepseek-coder:1.3b,20260725T114302Z,419,fail_assert,False,,1,"assert round_and_sum([22.4, 4.0, -16.22, -9.10, 11.00, -12.22, 14.20, -5.20, 17.50])==243"
baseline,deepseek-coder:1.3b,20260725T114302Z,428,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,435,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,443,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,447,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,452,fail_assert,False,,1,"assert loss_amount(1500,1200)==0"
baseline,deepseek-coder:1.3b,20260725T114302Z,455,fail_assert,False,,1,assert check_monthnumb_number(2)==False
baseline,deepseek-coder:1.3b,20260725T114302Z,459,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,463,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,562,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,563,fail_assert,False,,1,"assert extract_values('""Python"", ""PHP"", ""Java""')==['Python', 'PHP', 'Java']"
baseline,deepseek-coder:1.3b,20260725T114302Z,577,fail_assert,False,,1,assert last_Digit_Factorial(21) == 0
baseline,deepseek-coder:1.3b,20260725T114302Z,581,fail_assert,False,,1,"assert surface_Area(3,4) == 33"
baseline,deepseek-coder:1.3b,20260725T114302Z,582,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,594,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,605,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,617,fail_assert,False,,1,"assert min_Jumps((3,4),11)==3.5"
baseline,deepseek-coder:1.3b,20260725T114302Z,620,fail_assert,False,,1,"assert largest_subset([ 1, 3, 6, 13, 17, 18 ]) == 4"
baseline,deepseek-coder:1.3b,20260725T114302Z,631,fail_assert,False,,1,assert replace_spaces('Jumanji The Jungle') == 'Jumanji_The_Jungle'
baseline,deepseek-coder:1.3b,20260725T114302Z,644,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,730,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,744,fail_assert,False,,1,"assert check_none((7, 8, 9, 11, 14)) == False"
baseline,deepseek-coder:1.3b,20260725T114302Z,748,fail_assert,False,,1,"assert capital_words_spaces(""PythonProgrammingExamples"") == 'Python Programming Examples'"
baseline,deepseek-coder:1.3b,20260725T114302Z,751,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,772,fail_assert,False,,1,"assert remove_length('The person is most value tet', 3) == 'person is most value'"
baseline,deepseek-coder:1.3b,20260725T114302Z,787,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T114302Z,798,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,3,fail_assert,False,,1,assert is_not_prime(2) == False
baseline,deepseek-coder:1.3b,20260725T115130Z,4,error_runtime,False,,1,"assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]"
baseline,deepseek-coder:1.3b,20260725T115130Z,92,fail_assert,False,,1,assert is_undulating(1212121) == True
baseline,deepseek-coder:1.3b,20260725T115130Z,106,error_runtime,False,,1,"assert add_lists([5, 6, 7], (9, 10)) == (9, 10, 5, 6, 7)"
baseline,deepseek-coder:1.3b,20260725T115130Z,111,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,119,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,131,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,135,fail_assert,False,,1,assert hexagonal_num(10) == 190
baseline,deepseek-coder:1.3b,20260725T115130Z,141,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,223,error_runtime,False,,1,"assert is_majority([1, 1, 2, 2], 5, 1) == False"
baseline,deepseek-coder:1.3b,20260725T115130Z,224,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,252,fail_assert,False,,1,"assert convert(1) == (1.0, 0.0)"
baseline,deepseek-coder:1.3b,20260725T115130Z,256,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,272,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,277,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,281,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,295,fail_assert,False,,1,assert sum_div(8)==7
baseline,deepseek-coder:1.3b,20260725T115130Z,307,error_runtime,False,,1,"assert colon_tuplex((""HELLO"", 5, [], True) ,2,50)==(""HELLO"", 5, [50], True)"
baseline,deepseek-coder:1.3b,20260725T115130Z,308,fail_assert,False,,1,"assert large_product([1, 2, 3, 4, 5, 6],[3, 6, 8, 9, 10, 6],3)==[60, 54, 50]"
baseline,deepseek-coder:1.3b,20260725T115130Z,398,error_runtime,False,,1,"assert sum_of_digits([[10,20,4,5,'b',70,'a']])==19"
baseline,deepseek-coder:1.3b,20260725T115130Z,413,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,414,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,415,fail_assert,False,,1,"assert max_Product([1,2,3,4,7,0,8,4]) == (7,8)"
baseline,deepseek-coder:1.3b,20260725T115130Z,419,fail_assert,False,,1,"assert round_and_sum([22.4, 4.0, -16.22, -9.10, 11.00, -12.22, 14.20, -5.20, 17.50])==243"
baseline,deepseek-coder:1.3b,20260725T115130Z,428,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,435,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,443,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,447,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,452,fail_assert,False,,1,"assert loss_amount(1500,1200)==0"
baseline,deepseek-coder:1.3b,20260725T115130Z,455,fail_assert,False,,1,assert check_monthnumb_number(2)==False
baseline,deepseek-coder:1.3b,20260725T115130Z,459,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,463,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,562,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,563,fail_assert,False,,1,"assert extract_values('""Python"", ""PHP"", ""Java""')==['Python', 'PHP', 'Java']"
baseline,deepseek-coder:1.3b,20260725T115130Z,577,fail_assert,False,,1,assert last_Digit_Factorial(21) == 0
baseline,deepseek-coder:1.3b,20260725T115130Z,581,fail_assert,False,,1,"assert surface_Area(3,4) == 33"
baseline,deepseek-coder:1.3b,20260725T115130Z,582,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,594,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,605,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,617,fail_assert,False,,1,"assert min_Jumps((3,4),11)==3.5"
baseline,deepseek-coder:1.3b,20260725T115130Z,620,fail_assert,False,,1,"assert largest_subset([ 1, 3, 6, 13, 17, 18 ]) == 4"
baseline,deepseek-coder:1.3b,20260725T115130Z,631,fail_assert,False,,1,assert replace_spaces('Jumanji The Jungle') == 'Jumanji_The_Jungle'
baseline,deepseek-coder:1.3b,20260725T115130Z,644,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,730,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,744,fail_assert,False,,1,"assert check_none((7, 8, 9, 11, 14)) == False"
baseline,deepseek-coder:1.3b,20260725T115130Z,748,fail_assert,False,,1,"assert capital_words_spaces(""PythonProgrammingExamples"") == 'Python Programming Examples'"
baseline,deepseek-coder:1.3b,20260725T115130Z,751,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,772,fail_assert,False,,1,"assert remove_length('The person is most value tet', 3) == 'person is most value'"
baseline,deepseek-coder:1.3b,20260725T115130Z,787,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T115130Z,798,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,3,fail_assert,False,,1,assert is_not_prime(2) == False
baseline,deepseek-coder:1.3b,20260725T162216Z,4,error_runtime,False,,1,"assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]"
baseline,deepseek-coder:1.3b,20260725T162216Z,92,fail_assert,False,,1,assert is_undulating(1212121) == True
baseline,deepseek-coder:1.3b,20260725T162216Z,106,error_runtime,False,,1,"assert add_lists([5, 6, 7], (9, 10)) == (9, 10, 5, 6, 7)"
baseline,deepseek-coder:1.3b,20260725T162216Z,111,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,119,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,131,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,135,fail_assert,False,,1,assert hexagonal_num(10) == 190
baseline,deepseek-coder:1.3b,20260725T162216Z,141,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,223,error_runtime,False,,1,"assert is_majority([1, 1, 2, 2], 5, 1) == False"
baseline,deepseek-coder:1.3b,20260725T162216Z,224,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,252,fail_assert,False,,1,"assert convert(1) == (1.0, 0.0)"
baseline,deepseek-coder:1.3b,20260725T162216Z,256,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,272,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,277,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,281,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,295,fail_assert,False,,1,assert sum_div(8)==7
baseline,deepseek-coder:1.3b,20260725T162216Z,307,error_runtime,False,,1,"assert colon_tuplex((""HELLO"", 5, [], True) ,2,50)==(""HELLO"", 5, [50], True)"
baseline,deepseek-coder:1.3b,20260725T162216Z,308,fail_assert,False,,1,"assert large_product([1, 2, 3, 4, 5, 6],[3, 6, 8, 9, 10, 6],3)==[60, 54, 50]"
baseline,deepseek-coder:1.3b,20260725T162216Z,398,error_runtime,False,,1,"assert sum_of_digits([[10,20,4,5,'b',70,'a']])==19"
baseline,deepseek-coder:1.3b,20260725T162216Z,413,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,414,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,415,fail_assert,False,,1,"assert max_Product([1,2,3,4,7,0,8,4]) == (7,8)"
baseline,deepseek-coder:1.3b,20260725T162216Z,419,fail_assert,False,,1,"assert round_and_sum([22.4, 4.0, -16.22, -9.10, 11.00, -12.22, 14.20, -5.20, 17.50])==243"
baseline,deepseek-coder:1.3b,20260725T162216Z,428,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,435,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,443,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,447,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,452,fail_assert,False,,1,"assert loss_amount(1500,1200)==0"
baseline,deepseek-coder:1.3b,20260725T162216Z,455,fail_assert,False,,1,assert check_monthnumb_number(2)==False
baseline,deepseek-coder:1.3b,20260725T162216Z,459,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,463,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,562,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,563,fail_assert,False,,1,"assert extract_values('""Python"", ""PHP"", ""Java""')==['Python', 'PHP', 'Java']"
baseline,deepseek-coder:1.3b,20260725T162216Z,577,fail_assert,False,,1,assert last_Digit_Factorial(21) == 0
baseline,deepseek-coder:1.3b,20260725T162216Z,581,fail_assert,False,,1,"assert surface_Area(3,4) == 33"
baseline,deepseek-coder:1.3b,20260725T162216Z,582,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,594,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,605,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,617,fail_assert,False,,1,"assert min_Jumps((3,4),11)==3.5"
baseline,deepseek-coder:1.3b,20260725T162216Z,620,fail_assert,False,,1,"assert largest_subset([ 1, 3, 6, 13, 17, 18 ]) == 4"
baseline,deepseek-coder:1.3b,20260725T162216Z,631,fail_assert,False,,1,assert replace_spaces('Jumanji The Jungle') == 'Jumanji_The_Jungle'
baseline,deepseek-coder:1.3b,20260725T162216Z,644,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,730,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,744,fail_assert,False,,1,"assert check_none((7, 8, 9, 11, 14)) == False"
baseline,deepseek-coder:1.3b,20260725T162216Z,748,fail_assert,False,,1,"assert capital_words_spaces(""PythonProgrammingExamples"") == 'Python Programming Examples'"
baseline,deepseek-coder:1.3b,20260725T162216Z,751,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,772,fail_assert,False,,1,"assert remove_length('The person is most value tet', 3) == 'person is most value'"
baseline,deepseek-coder:1.3b,20260725T162216Z,787,pass,True,1,1,
baseline,deepseek-coder:1.3b,20260725T162216Z,798,pass,True,1,1,
